Gene_Name,Literature,GOTerm,Function
 SUCO,Bosse et al. 2017,regulation of osteoblast differentiation,
 TOB1,Bosse et al. 2017,regulation of osteoblast differentiation,
 TP63,Bosse et al. 2017,regulation of osteoblast differentiation,
 TWSG1,Bosse et al. 2017,regulation of osteoblast differentiation,
 WNT4,Bosse et al. 2017,regulation of osteoblast differentiation,
 WNT7B,Bosse et al. 2017,regulation of osteoblast differentiation,
 ZHX3,Bosse et al. 2017,regulation of osteoblast differentiation,
CUL4A,Perrier et al. 2017,Cullin 4A,
FRMD4A,Perrier et al. 2017,FERM Domain Containing 4A,
XRN2,Perrier et al. 2017,5??3? Exoribonuclease 2,
RPS6KA2,Perrier et al. 2017,Ribosomal Protein S6 Kinase A2,
SLC25A43,Perrier et al. 2017,Solute Carrier Family 25 Member 43,
FANCM,Perrier et al. 2017,Fanconi Anemia Complementation Group M,
CPXM2,Perrier et al. 2017,"Carboxypeptidase X, M14 Family Member 2",
TCERG1L,Perrier et al. 2017,Transcription Elongation Regulator 1 Like,
ACKR3,Perrier et al. 2017,Atypical Chemokine Receptor 3,
PRSS56,Perrier et al. 2017,"Protease, Serine 56",
CUX1,Perrier et al. 2017,Cut Like Homeobox 1,
CUX1,Perrier et al. 2017,Cut Like Homeobox 1,
CAMTA1,Perrier et al. 2017,Calmodulin Binding Transcription Activator 1,
HEPHL1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
HEPHL1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TM4SF1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TBX20,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
HERPUD2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
GLI3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
GLI3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
GLI3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
INHBA,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SUGCT,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VPS13B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VPS13B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VPS13B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VPS13B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
FZD6,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
CTHRC1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
EMC2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TMEM74,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TRPS1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TRPS1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SIX2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SRBD1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SOCS5,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LRFN2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LRFN2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
KIF6,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
DAAM2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
DAAM2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
ANO5,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NELL1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NELL1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NELL1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
IGF2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
MRPL23,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TOLLIP,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
MUC5AC,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
MUC5AC,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
MUC5AC,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
MUC5AC,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
ALX4,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
CD82,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
GRID1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LDB3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LDB3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
BMPR1A,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
CDHR1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NRG3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NRG3,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SH2D4B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SATB2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
SATB2,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VAT1L,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
ADAMTS18,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
ADAMTS18,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LRRIQ1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
LRRIQ1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
COL4A5,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
IRS4,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
NXT1,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
ACSL4,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
TBC1D8B,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
VMA21,Bosse et al. 2017,Genelist based on chicken gene predictions in the makerfile in genome browser,
HEPHL1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
GLI3,Bosse et al. 2017,significant markers in EigenGWAS peaks,
VPS13B,Bosse et al. 2017,significant markers in EigenGWAS peaks,
TRPS1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SRBD1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SIX3,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SIX2,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SOCS5,Bosse et al. 2017,significant markers in EigenGWAS peaks,
DAAM2,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SLC17A6,Bosse et al. 2017,significant markers in EigenGWAS peaks,
ANO5,Bosse et al. 2017,significant markers in EigenGWAS peaks,
NELL1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
ALX4,Bosse et al. 2017,significant markers in EigenGWAS peaks,
CD82,Bosse et al. 2017,significant markers in EigenGWAS peaks,
BMPR1A,Bosse et al. 2017,significant markers in EigenGWAS peaks,
LDB3,Bosse et al. 2017,significant markers in EigenGWAS peaks,
CDHR1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
NRG3,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SHD24B,Bosse et al. 2017,significant markers in EigenGWAS peaks,
SATB2,Bosse et al. 2017,significant markers in EigenGWAS peaks,
VAT1L,Bosse et al. 2017,significant markers in EigenGWAS peaks,
ADAMTS18,Bosse et al. 2017,significant markers in EigenGWAS peaks,
COL4A5,Bosse et al. 2017,significant markers in EigenGWAS peaks,
LRRIQ1,Bosse et al. 2017,significant markers in EigenGWAS peaks,
MYOCD,Bosse et al. 2017,most significant markers in the GWAS for bill length,
LRCH1,Bosse et al. 2017,most significant markers in the GWAS for bill length,
COL4A5,Bosse et al. 2017,most significant markers in the GWAS for bill length,
CMC4,Bosse et al. 2017,most significant markers in the GWAS for bill length,
COL4A5,Bosse et al. 2017,most significant markers in the GWAS for bill length,
CACHD1,Bosse et al. 2017,most significant markers in the GWAS for bill length,
ERP44,Bosse et al. 2017,most significant markers in the GWAS for bill length,
PTPRN2,Bosse et al. 2017,most significant markers in the GWAS for bill length,
EEA1,Bosse et al. 2017,most significant markers in the GWAS for bill length,
TBC1D5,Bosse et al. 2017,most significant markers in the GWAS for bill length,
MPP7,Bosse et al. 2017,most significant markers in the GWAS for bill length,
CNTN1,Bosse et al. 2017,most significant markers in the GWAS for bill length,
COL4A5,Bosse et al. 2017,most significant markers in the GWAS for bill length,
TXNRD1,Bosse et al. 2017,most significant markers in the GWAS for bill length,
CCDC6,Bosse et al. 2017,most significant markers in the GWAS for bill length,
